File | Rarity
-----------------
100.json | Epic
10.json | Epic
11.json | Rare
12.json | Rare
13.json | Rare
14.json | Rare
15.json | Rare
16.json | Rare
17.json | Rare
18.json | Rare
19.json | Rare
1.json | Epic
20.json | Rare
21.json | Epic
22.json | Epic
23.json | Epic
24.json | Epic
25.json | Epic
26.json | Epic
27.json | Epic
28.json | Epic
29.json | Epic
2.json | Epic
30.json | Epic
31.json | Common
32.json | Common
33.json | Common
34.json | Common
35.json | Common
36.json | Common
37.json | Common
38.json | Common
39.json | Common
3.json | Epic
40.json | Common
41.json | Common
42.json | Common
43.json | Common
44.json | Common
45.json | Common
46.json | Common
47.json | Common
48.json | Common
49.json | Common
4.json | Epic
50.json | Common
51.json | Common
52.json | Common
53.json | Common
54.json | Common
55.json | Common
56.json | Common
57.json | Common
58.json | Common
59.json | Common
5.json | Epic
60.json | Common
61.json | Epic
62.json | Epic
63.json | Epic
64.json | Epic
65.json | Epic
66.json | Epic
67.json | Epic
68.json | Epic
69.json | Beyond Epic
6.json | Epic
70.json | Epic
71.json | Epic
72.json | Common
73.json | Common
74.json | Common
75.json | Common
76.json | Common
77.json | Common
78.json | Common
79.json | Common
7.json | Epic
80.json | Epic
81.json | Rare
82.json | Rare
83.json | Rare
84.json | Rare
85.json | Rare
86.json | Rare
87.json | Rare
88.json | Rare
89.json | Rare
8.json | Epic
90.json | Rare
91.json | Epic
92.json | Epic
93.json | Epic
94.json | Epic
95.json | Beyond Epic
96.json | Epic
97.json | Epic
98.json | Epic
99.json | Epic
9.json | Epic
