File | Type of Residence
------------------------
100.json | Farm
10.json | Building
11.json | House
12.json | House
13.json | House
14.json | House
15.json | House
16.json | House
17.json | House
18.json | House
19.json | House
1.json | Building
20.json | House
21.json | Hotel
22.json | Hotel
23.json | Hotel
24.json | Hotel
25.json | Hotel
26.json | Hotel
27.json | Hotel
28.json | Hotel
29.json | Hotel
2.json | Building
30.json | Hotel
31.json | Condo
32.json | Condo
33.json | Condo
34.json | Condo
35.json | Condo
36.json | Condo
37.json | Condo
38.json | Condo
39.json | Condo
3.json | Building
40.json | Condo
41.json | Office
42.json | Office
43.json | Office
44.json | Office
45.json | Office
46.json | Office
47.json | Office
48.json | Office
49.json | Office
4.json | Building
50.json | Office
51.json | Trailer
52.json | Trailer
53.json | Trailer
54.json | Trailer
55.json | Trailer
56.json | Trailer
57.json | Trailer
58.json | Trailer
59.json | Trailer
5.json | Building
60.json | Trailer
61.json | Yacht
62.json | Yacht
63.json | Yacht
64.json | Yacht
65.json | Yacht
66.json | Yacht
67.json | Yacht
68.json | Yacht
69.json | Yacht
6.json | Building
70.json | Yacht
71.json | Yacht
72.json | Parking
73.json | Parking
74.json | Parking
75.json | Parking
76.json | Parking
77.json | Parking
78.json | Parking
79.json | Parking
7.json | Building
80.json | Parking Lot
81.json | Storage
82.json | Storage
83.json | Storage
84.json | Storage
85.json | Storage
86.json | Storage
87.json | Storage
88.json | Storage
89.json | Storage
8.json | Building
90.json | Storage
91.json | Farm
92.json | Farm
93.json | Farm
94.json | Farm
95.json | Farm
96.json | Farm
97.json | Farm
98.json | Farm
99.json | Farm
9.json | Building
